# Nintendo - Nintendo 64 - 20130203-100700
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
35958f55	Chameleon Twist 2 (Europe)
f42bb75f	Chameleon Twist 2 (Japan)
356736c7	Chameleon Twist 2 (USA)
831c5a55	Charlie Blast's Territory (Europe)
928a2968	Charlie Blast's Territory (USA)
30ca7dbe	Chopper Attack (Europe)
2c22147d	Chopper Attack (USA)
c5722b49	Choro Q 64 (Japan)
42ae9174	Choro Q 64 II - Hacha Mecha Grand Prix Race (Japan)
c73e336c	Chou Kuukan Nighter Pro Yakyuu King (Japan)
c0fc82c0	Chou Kuukan Nighter Pro Yakyuu King 2 (Japan)
ab53586b	Chou Snobo Kids (Japan)
7a59354b	City-Tour GP - Zennihon GT Senshuken (Japan)
f59fd73e	Clay Fighter - Sculptor's Cut (USA)
dcccb22f	Clay Fighter 63 1-3 (Europe)
e7c70f25	Clay Fighter 63 1-3 (USA)
23139027	Clay Fighter 63 1-3 (USA) (Beta)
ce383b3e	Command & Conquer (Europe) (En,Fr)
b312e838	Command & Conquer (Germany)
8d23ba95	Command & Conquer (USA)
96dba949	Conker's Bad Fur Day (Europe)
6acdb3fc	Conker's Bad Fur Day (USA)
20e7dbd7	Cruis'n Exotica (USA)
6767eca4	Cruis'n USA (Europe)
ee925406	Cruis'n USA (USA)
615ac9bc	Cruis'n USA (USA) (Rev A)
e466c124	Cruis'n USA (USA) (Rev B)
2a8b3094	Cruis'n World (Europe)
41877d7d	Cruis'n World (USA)
30c84f36	Custom Robo (Japan)
7bef9ecc	Custom Robo V2 (Japan)
bcf1071f	CyberTiger (Europe)
f0f89bb9	CyberTiger (USA)
6cb4b600	Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)
e085afa0	Dance Dance Revolution - Disney Dancing Museum (Japan)
375d8ffe	Dark Rift (Europe)
2afab93c	Dark Rift (USA)
b4afbf51	Deadly Arts (USA)
eb304709	Defi au Tetris Magique (France)
8f63474f	Densha de Go! 64 (Japan)
922506ad	Derby Stallion 64 (Japan)
418fa479	Derby Stallion 64 (Japan) (Beta)
212a8000	Destruction Derby 64 (Europe) (En,Fr,De)
ef680f71	Destruction Derby 64 (USA)
8ce25c68	Dezaemon 3D (Japan)
883df1ea	Diddy Kong Racing (Europe) (En,Fr,De)
f05d414f	Diddy Kong Racing (Europe) (En,Fr,De) (Rev A)
95931356	Diddy Kong Racing (Japan)
9d2935a1	Diddy Kong Racing (USA) (En,Fr)
96c32bb6	Diddy Kong Racing (USA) (En,Fr) (Rev A)
6d48b64e	Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)
5f67a191	Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)
fc37b06a	Donkey Kong 64 (Europe) (En,Fr,De,Es)
fbd001b9	Donkey Kong 64 (Japan)
96972d67	Donkey Kong 64 (USA)
54bb87f6	Donkey Kong 64 (USA) (Demo) (Kiosk)
0227db4b	Doom 64 (Europe)
95526f13	Doom 64 (Japan)
4dfb7cb6	Doom 64 (USA)
0f080d06	Doom 64 (USA) (Rev A)
cad0a2c2	Doraemon - Nobita to 3tsu no Seireiseki (Japan)
2de1a873	Doraemon 2 - Nobita to Hikari no Shinden (Japan)
0b3ad913	Doraemon 3 - Nobita no Machi SOS! (Japan)
b9fcd0a6	Doubutsu no Mori (Japan)
f7c44b5b	Dr. Mario 64 (USA)
c16b220f	Dragon Sword 64 (USA) (Proto)
04064347	Dual Heroes (Europe)
a3565ffc	Dual Heroes (Japan)
8968d989	Dual Heroes (USA)
b67bbc15	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)
0829b87a	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta)
c2b3df4d	Duke Nukem - Zero Hour (Europe)
8fbf7447	Duke Nukem - Zero Hour (France)
912f576f	Duke Nukem - Zero Hour (USA)
9817b026	Duke Nukem 64 (Europe)
cbe8c78a	Duke Nukem 64 (France)
1bf948c3	Duke Nukem 64 (USA)
2fac2c41	ECW Hardcore Revolution (Europe)
4ba40079	ECW Hardcore Revolution (USA)
20c3adab	Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)
1017be14	Earthworm Jim 3D (USA)
ce55bb19	Eikou no Saint Andrews (Japan)
710011fb	Elmo's Letter Adventure (USA)
b7ad0f05	Elmo's Number Journey (USA)
3541c4bb	Eltale Monsters (Japan)
8feede6f	Excitebike 64 (Europe)
9dfeb099	Excitebike 64 (Japan)
ef78ed7e	Excitebike 64 (USA)
13157df7	Excitebike 64 (USA) (Demo) (Kiosk)
1be8e42b	Extreme-G (Europe) (En,Fr,De,Es,It)
856227bb	Extreme-G (Japan)
a43a0b17	Extreme-G (USA)
32fc980c	Extreme-G XG2 (Europe) (En,Fr,De,Es,It)
62202d15	Extreme-G XG2 (Japan)
849c18ce	Extreme-G XG2 (USA)
8c08a7a8	F-1 World Grand Prix (Europe)
338777bf	F-1 World Grand Prix (Europe) (Beta)
02e9695d	F-1 World Grand Prix (France)
7d8ddefb	F-1 World Grand Prix (Germany)
386e127d	F-1 World Grand Prix (Japan)
4d203242	F-1 World Grand Prix (USA)
484c801d	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)
3d95df80	F-Zero X (Europe)
927387b6	F-Zero X (Japan)
9408c2c1	F-Zero X (USA)
ec8b6db6	F1 Pole Position 64 (Europe) (En,Fr,De)
873bc45a	F1 Pole Position 64 (USA) (En,Fr,De)
7ad98002	F1 Racing Championship (Brazil) (En,Fr)
0605e5ac	F1 Racing Championship (Europe) (En,Fr,De,Es,It)
2d49f99a	FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)
9504b3df	FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)
6ae6b8ed	FIFA - Road to World Cup 98 - World Cup e no Michi (Japan)
ce258860	FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)
d69dd3d1	FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)
26f52456	FIFA Soccer 64 (Europe) (En,Fr,De)
3b22f9f2	FIFA Soccer 64 (USA) (En,Fr,De)
51e0b88a	Famista 64 (Japan)
7fc19103	Fighter Destiny 2 (USA)
83f9299e	Fighters Destiny (Europe)
80d968b1	Fighters Destiny (France)
0a89ca02	Fighters Destiny (Germany)
a625973f	Fighters Destiny (USA)
a9740235	Fighting Cup (Japan)
8d0cb2ff	Fighting Force 64 (Europe)
ade7dca4	Fighting Force 64 (USA)
00fff973	Flying Dragon (Europe)
87e4e352	Flying Dragon (USA)
6c65ef7a	Forsaken 64 (Europe) (En,Fr,Es,It)
c3fa1b8e	Forsaken 64 (Germany)
f970e4a4	Forsaken 64 (USA)
fede3ef8	Fox Sports College Hoops '99 (USA)
dc59ece7	Frogger 2 (USA) (Rev A) (Proto)
af0a22ef	Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan)
b0d256b8	G.A.S.P!! Fighters' NEXTream (Europe)
0e05ea3a	G.A.S.P!! Fighters' NEXTream (Japan)
b06d0d85	GT64 - Championship Edition (Europe) (En,Fr,De)
b6dc4cfd	GT64 - Championship Edition (USA)
35b99bd9	GameBooster 64 (Europe) (v1.1) (Unl)
e0b8edae	GameBooster 64 (USA) (v1.1) (Unl)
ef9edf87	GameShark Pro (USA) (v2.0) (Unl)
7cc07bbc	GameShark Pro (USA) (v3.3) (Unl)
163c3c51	Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan)
69964858	Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan)
1c7e5d6e	Ganbare! Nippon! Olympics 2000 (Japan)
d9f765ad	Gauntlet Legends (Europe)
1f3a1912	Gauntlet Legends (Japan)
7e90c0a8	Gauntlet Legends (USA)
bbd2ae37	Getter Love!! Cho Renai Party Game (Japan)
1110cc22	Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)
d169e9f8	Gex 3 - Deep Cover Gecko (Europe) (Fr,De)
3571f3bd	Gex 3 - Deep Cover Gecko (USA)
3e20eafd	Gex 64 - Enter the Gecko (Europe)
3f90e7c2	Gex 64 - Enter the Gecko (USA)
93dae2a0	Glover (Europe) (En,Fr,De)
d024893a	Glover (USA)
5f0ad6da	Glover (USA) (Beta)
40f45974	Glover 2 (USA) (Proto)
f6bacbac	Goemon - Mononoke Sugoroku (Japan)
e3c7a184	Goemon's Great Adventure (USA)
9670a4b7	Golden Nugget 64 (USA)
fb1294c3	HSV Adventure Racing! (Australia)
689191c6	Hamster Monogatari 64 (Japan)
ad4720e2	Harukanaru Augusta - Masters '98 (Japan)
d2ee315f	Harvest Moon 64 (USA)
3acb817e	Heiwa Pachinko World 64 (Japan)
