# Sega - Master System - Mark III - 20140508-000156
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
f0f35c22	20 em 1 (Brazil)
c4bb1676	E-SWAT - City Under Siege (USA, Europe) (Easy Version)
c10fce39	E-SWAT - City Under Siege (USA, Europe) (Hard Version)
dd74bcf1	E.I. - Exa Innova (Korea)
f06f2ccb	Eagles 5 (Korea)
c4d5efc5	Earthworm Jim (Brazil)
7c28703a	Ecco - The Tides of Time (Brazil)
6687fab9	Ecco the Dolphin (Europe)
5d5c50b3	Enduro Racer (Japan)
00e73541	Enduro Racer (USA, Europe)
8813514b	Excellent Dizzy Collection, The (USA, Europe) (En,Fr,De,Es,It) (Proto)
06965ed9	F-1 Spirit - The Way to Formula-1 (Korea) (Unl) (Pirate)
eaebf323	F-16 Fighter (USA, Europe)
7ce06fce	F-16 Fighting Falcon (Japan)
c4c53226	F-16 Fighting Falcon (Taiwan)
184c23b7	F-16 Fighting Falcon (USA)
ec788661	F1 (Europe)
17ab6883	FA Tetris (Korea) (Pirate)
9bb3b5f9	FIFA International Soccer (Brazil) (En,Es,Pt)
7abc70e9	Family Games (Japan)
b9664ae1	Fantastic Dizzy (Europe) (En,Fr,De,Es,It)
0ffbcaa3	Fantasy Zone (Japan)
5fd48352	Fantasy Zone (Taiwan)
f46264fe	Fantasy Zone (World) (Rev 1) (Beta)
65d7e4e0	Fantasy Zone (World) (Rev 2)
d29889ad	Fantasy Zone - The Maze (USA, Europe)
c722fb42	Fantasy Zone II - Opa-Opa no Namida (Japan)
b8b141f9	Fantasy Zone II - The Tears of Opa-Opa (USA, Europe)
bf6c2e37	Ferias Frustradas do Pica Pau (Brazil)
3ebb7457	Final Bubble Bobble (Japan)
f6ad7b1d	Fire & Forget II (Europe)
8b24a640	Fire & Ice (Brazil)
be31d63f	Flash, The (Europe)
61e8806f	Flashpoint (Korea) (Unl)
ca5c78a5	Flintstones, The (Europe)
38c53916	Forgotten Worlds (Europe)
e6795c53	Fushigi no Oshiro Pit Pot (Japan)
05cdc24e	G-LOC Air Battle (Europe)
ec2da554	GP Rider (Europe)
